Title,Company,Location,Skills,Date,Category,Description
Work from Home Customer Service Assistant,Washing State Pharmacy Association,🇺🇸 United States,"Sales, Admin, Salesforce, Virtual Assistant, Data Entry, Customer Service, Customer Representative, Sales Rep",2025-08-21T01:14:09+00:00,customer-support,Work from Home Customer Service Assistant Washing State Pharmacy Association 🇺🇸 United States 💰 $120k - $160k
ADMINISTRATIVE ASSISTANT USA RESIDENTS ONLY,MasterCraft,🇺🇸 United States,"Admin, Data Entry, Customer Service",2025-08-11T00:00:06+00:00,customer-support,ADMINISTRATIVE ASSISTANT USA RESIDENTS ONLY 🎈 MasterCraft 🇺🇸 United States 💰 $80k - $90k
DeFi Analyst and Educator,Decentralized Masters,🌏 Worldwide,"Edu, Teaching, Crypto",2025-08-22T13:22:49+00:00,customer-support,DeFi Analyst and Educator verified Decentralized Masters 🌏 Worldwide 💰 $40k - $100k
Admin and Support Specialist With Love for Writing,Interaction Design Foundation,🌏 Worldwide,"Content Writing, Writing",2025-07-21T10:40:34+00:00,customer-support,Admin and Support Specialist With Love for Writing Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Virtual Assistant $25 Hourly,Brookview Lawncare,🇺🇸 United States,,2025-07-12T00:00:09+00:00,customer-support,Virtual Assistant $25 Hourly 🎈 verified Brookview Lawncare 🇺🇸 United States 💰 $80k - $100k
Guest Support Agent,HostGenius,💃 Latin America,,2025-07-11T00:00:04+00:00,customer-support,Guest Support Agent 🎈 verified HostGenius 💃 Latin America 💰 $20k - $20k
Admin and Support Specialist,Interaction Design Foundation,🌏 Worldwide,Admin,2025-04-12T00:00:07+00:00,customer-support,Admin and Support Specialist 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
spoke person,labs ai,🌏 Worldwide,"Developer, Marketing, Sales, Non Tech, Other",2025-03-11T16:07:25+00:00,customer-support,spoke person labs ai 🌏 Worldwide 💰 $20k - $40k ⏰ Part time
Work from Home Customer Service Assistant $28 $30 Hourly,MasterCraft Boating Company,🇺🇸 United States 🔒,"Marketing, Sales",2025-03-08T00:00:06+00:00,customer-support,Work from Home Customer Service Assistant $28 $30 Hourly 🎈 MasterCraft Boating Company 🇺🇸 United States 🔒 💰 $70k - $80k
$1 000 Weekly DATA ENTRY ASSISTANT,MasterCraft,🇺🇸 United States 🔒,,2025-02-26T00:00:06+00:00,customer-support,$1 000 Weekly DATA ENTRY ASSISTANT 🎈 MasterCraft 🇺🇸 United States 🔒 💰 $60k - $70k
CSR,BSMG,🇺🇸 United States 🔒,"Csr, Sales",2025-02-14T00:00:08+00:00,customer-support,CSR 🎈 BSMG 🇺🇸 United States 🔒 💰 $50k - $60k
Data Entry Virtual Assistant,MasterCraft,🇺🇸 United States 🔒,"Finance, Full Time, Admin",2024-11-28T15:22:16+00:00,customer-support,Data Entry Virtual Assistant MasterCraft 🇺🇸 United States 🔒 💰 $60k - $80k
Virtual Assistant,Bikram Yoga Rancho Cucamonga,🌏 Worldwide,,2024-11-28T00:00:05+00:00,customer-support,Virtual Assistant 🎈 Bikram Yoga Rancho Cucamonga 🌏 Worldwide 💰 $50k - $70k
Customer Support Specialist,Clipboard Health,🇪🇺 Europe,,2024-10-13T17:51:59+00:00,customer-support,Customer Support Specialist verified Clipboard Health 🇪🇺 Europe 💃 Latin America ⛩ Asia 🇿🇦 South Africa 💰 $10k - $50k
Technical Support Engineer Developer,LimeSurvey,🇪🇺 Europe,"PHP, Edu, Tech, Developer, Engineer, Remote",2024-10-05T00:00:03+00:00,customer-support,Technical Support Engineer Developer 🎈 verified LimeSurvey 🇪🇺 Europe 🇬🇧 United Kingdom 💰 $40k - $70k
Appointment Setters,Air Titans,💃 Latin America,"CRM, Sales",2024-06-12T00:00:05+00:00,customer-support,Appointment Setters 🎈 verified Air Titans 💃 Latin America 💰 $20k - $20k
President LISC Green,Local Initiatives Support Corporation,🌏 Probably worldwide,"Ceo, Support, Financial, Investment, Finance, Strategy, Management, Lead, Senior, Operational, Non Tech",2024-06-04T04:00:02+00:00,customer-support,President LISC Green Local Initiatives Support Corporation 🌏 Probably worldwide 💰 $55k - $88k*
